split,image,label,num_boxes,width,height
train,data/preprocessed_detection/train/images/train_102_png.rf.244a01ed596ba76dfd6b3039b9c95d85.jpg,data/preprocessed_detection/train/labels/train_102_png.rf.244a01ed596ba76dfd6b3039b9c95d85.txt,30,2048,911
train,data/preprocessed_detection/train/images/train_102_png.rf.adaefe4ece7b6b4c280498dd25bf5723.jpg,data/preprocessed_detection/train/labels/train_102_png.rf.adaefe4ece7b6b4c280498dd25bf5723.txt,30,2048,911
train,data/preprocessed_detection/train/images/train_102_png.rf.e07d01b309ca32e405f5ab5ede6c64a9.jpg,data/preprocessed_detection/train/labels/train_102_png.rf.e07d01b309ca32e405f5ab5ede6c64a9.txt,30,2048,911
train,data/preprocessed_detection/train/images/train_105_png.rf.9fea4d72f30dbba740d0ce46a89b450a.jpg,data/preprocessed_detection/train/labels/train_105_png.rf.9fea4d72f30dbba740d0ce46a89b450a.txt,28,1976,976
train,data/preprocessed_detection/train/images/train_105_png.rf.b8b85c511766d71d1aa785ddd35c6e87.jpg,data/preprocessed_detection/train/labels/train_105_png.rf.b8b85c511766d71d1aa785ddd35c6e87.txt,28,1976,976
train,data/preprocessed_detection/train/images/train_105_png.rf.d1ef192a8cf93bc3b77c116d91060b74.jpg,data/preprocessed_detection/train/labels/train_105_png.rf.d1ef192a8cf93bc3b77c116d91060b74.txt,28,1976,976
train,data/preprocessed_detection/train/images/train_106_png.rf.173c876458f173e991ccd499044b88b8.jpg,data/preprocessed_detection/train/labels/train_106_png.rf.173c876458f173e991ccd499044b88b8.txt,29,2048,932
train,data/preprocessed_detection/train/images/train_106_png.rf.30c0fba4566094da8b669cd05d7bb8b2.jpg,data/preprocessed_detection/train/labels/train_106_png.rf.30c0fba4566094da8b669cd05d7bb8b2.txt,29,2048,932
train,data/preprocessed_detection/train/images/train_106_png.rf.bfa75375e33784443994e4b2b9e9ffec.jpg,data/preprocessed_detection/train/labels/train_106_png.rf.bfa75375e33784443994e4b2b9e9ffec.txt,29,2048,932
train,data/preprocessed_detection/train/images/train_107_png.rf.949ec5c1db7db7b323b3cb69dd554798.jpg,data/preprocessed_detection/train/labels/train_107_png.rf.949ec5c1db7db7b323b3cb69dd554798.txt,31,2048,942
train,data/preprocessed_detection/train/images/train_107_png.rf.9b15b85d6d35e03b375244a5d2a2aa77.jpg,data/preprocessed_detection/train/labels/train_107_png.rf.9b15b85d6d35e03b375244a5d2a2aa77.txt,31,2048,942
train,data/preprocessed_detection/train/images/train_107_png.rf.b459999b6840770218597f3ebcef7e23.jpg,data/preprocessed_detection/train/labels/train_107_png.rf.b459999b6840770218597f3ebcef7e23.txt,31,2048,942
train,data/preprocessed_detection/train/images/train_108_png.rf.79adb6b60bbc2cf7803ef8279fe34c10.jpg,data/preprocessed_detection/train/labels/train_108_png.rf.79adb6b60bbc2cf7803ef8279fe34c10.txt,27,2048,947
train,data/preprocessed_detection/train/images/train_108_png.rf.c0b7887a1746101ae145dcbcb35769f5.jpg,data/preprocessed_detection/train/labels/train_108_png.rf.c0b7887a1746101ae145dcbcb35769f5.txt,27,2048,947
train,data/preprocessed_detection/train/images/train_108_png.rf.d945741ddbffac19976df74acd8fe161.jpg,data/preprocessed_detection/train/labels/train_108_png.rf.d945741ddbffac19976df74acd8fe161.txt,27,2048,947
train,data/preprocessed_detection/train/images/train_109_png.rf.45722fc2d9a431e329efca282760121a.jpg,data/preprocessed_detection/train/labels/train_109_png.rf.45722fc2d9a431e329efca282760121a.txt,22,2048,943
train,data/preprocessed_detection/train/images/train_109_png.rf.735444a0eb9682b5a15a1f3be4a559a1.jpg,data/preprocessed_detection/train/labels/train_109_png.rf.735444a0eb9682b5a15a1f3be4a559a1.txt,22,2048,943
train,data/preprocessed_detection/train/images/train_109_png.rf.9e5ee097b77e1d1fae5276d126f36c50.jpg,data/preprocessed_detection/train/labels/train_109_png.rf.9e5ee097b77e1d1fae5276d126f36c50.txt,22,2048,943
train,data/preprocessed_detection/train/images/train_10_png.rf.4d532a81164e4c2aba4817054dcdaa97.jpg,data/preprocessed_detection/train/labels/train_10_png.rf.4d532a81164e4c2aba4817054dcdaa97.txt,28,2048,927
train,data/preprocessed_detection/train/images/train_10_png.rf.ae24c93149c61c588896b9fb23ad691b.jpg,data/preprocessed_detection/train/labels/train_10_png.rf.ae24c93149c61c588896b9fb23ad691b.txt,28,2048,927
train,data/preprocessed_detection/train/images/train_10_png.rf.bf0a9c46292b30fdcddfd0686ca5c600.jpg,data/preprocessed_detection/train/labels/train_10_png.rf.bf0a9c46292b30fdcddfd0686ca5c600.txt,28,2048,927
